attempt_id,user_id,attempt_order_by_user,score,total_questions,percentage,difficulty,video_count,video_ids,created_at,is_synthetic
16,5,4,8,10,85.0,Medium,2,"17,18",2026-07-12 11:00:00.000000,1
17,5,5,9,10,90.0,Medium,1,18,2026-07-15 12:00:00.000000,1
18,5,6,10,10,95.0,Medium,2,"17,19",2026-07-18 13:00:00.000000,1
19,5,7,9,10,90.0,Hard,1,17,2026-07-21 14:00:00.000000,1
20,5,8,10,10,95.0,Hard,2,"18,19",2026-07-24 15:00:00.000000,1
21,6,1,4,10,40.0,Easy,1,20,2026-07-05 17:00:00.000000,1
22,6,2,4,10,45.0,Medium,2,"21,22",2026-07-08 10:00:00.000000,1
23,6,3,5,10,50.0,Medium,1,22,2026-07-11 11:00:00.000000,1
24,6,4,4,10,45.0,Medium,2,"20,21",2026-07-14 12:00:00.000000,1
25,6,5,6,10,55.0,Medium,1,21,2026-07-17 13:00:00.000000,1
26,6,6,6,10,60.0,Medium,2,"20,22",2026-07-20 14:00:00.000000,1
27,6,7,6,10,65.0,Hard,1,20,2026-07-23 15:00:00.000000,1
28,6,8,6,10,60.0,Hard,2,"21,22",2026-07-26 16:00:00.000000,1
29,7,1,7,10,70.0,Easy,1,23,2026-07-07 10:00:00.000000,1
30,7,2,6,10,65.0,Medium,2,"24,25",2026-07-10 11:00:00.000000,1
31,7,3,6,10,60.0,Medium,1,25,2026-07-13 12:00:00.000000,1
32,7,4,7,10,70.0,Medium,2,"23,24",2026-07-16 13:00:00.000000,1
33,7,5,6,10,65.0,Medium,1,24,2026-07-19 14:00:00.000000,1
34,7,6,8,10,75.0,Medium,2,"23,25",2026-07-22 15:00:00.000000,1
35,7,7,7,10,70.0,Hard,1,23,2026-07-25 16:00:00.000000,1
36,7,8,8,10,80.0,Hard,2,"24,25",2026-07-28 17:00:00.000000,1
37,8,1,3,10,30.0,Easy,1,26,2026-07-09 11:00:00.000000,1
38,8,2,4,10,40.0,Medium,2,"27,28",2026-07-12 12:00:00.000000,1
39,8,3,4,10,45.0,Medium,1,28,2026-07-15 13:00:00.000000,1
40,8,4,5,10,50.0,Medium,2,"26,27",2026-07-18 14:00:00.000000,1
41,8,5,6,10,55.0,Medium,1,27,2026-07-21 15:00:00.000000,1
42,8,6,6,10,60.0,Medium,2,"26,28",2026-07-24 16:00:00.000000,1
43,8,7,6,10,65.0,Hard,1,26,2026-07-27 17:00:00.000000,1
44,8,8,7,10,70.0,Hard,2,"27,28",2026-07-30 10:00:00.000000,1
45,9,1,9,10,90.0,Easy,1,29,2026-07-11 12:00:00.000000,1
46,9,2,8,10,85.0,Medium,2,"30,31",2026-07-14 13:00:00.000000,1
47,9,3,8,10,80.0,Medium,1,31,2026-07-17 14:00:00.000000,1
48,9,4,8,10,85.0,Medium,2,"29,30",2026-07-20 15:00:00.000000,1
49,9,5,8,10,80.0,Medium,1,30,2026-07-23 16:00:00.000000,1
50,9,6,8,10,75.0,Medium,2,"29,31",2026-07-26 17:00:00.000000,1
51,9,7,8,10,80.0,Hard,1,29,2026-07-29 10:00:00.000000,1
52,9,8,8,10,85.0,Hard,2,"30,31",2026-08-01 11:00:00.000000,1
53,10,1,5,10,50.0,Easy,1,32,2026-07-13 13:00:00.000000,1
54,10,2,5,10,50.0,Medium,2,"33,34",2026-07-16 14:00:00.000000,1
55,10,3,6,10,55.0,Medium,1,34,2026-07-19 15:00:00.000000,1
56,10,4,6,10,60.0,Medium,2,"32,33",2026-07-22 16:00:00.000000,1
57,10,5,6,10,55.0,Medium,1,33,2026-07-25 17:00:00.000000,1
58,10,6,6,10,65.0,Medium,2,"32,34",2026-07-28 10:00:00.000000,1
59,10,7,6,10,60.0,Hard,1,32,2026-07-31 11:00:00.000000,1
60,10,8,7,10,70.0,Hard,2,"33,34",2026-08-03 12:00:00.000000,1
61,11,1,6,10,65.0,Easy,1,35,2026-07-15 14:00:00.000000,1
62,11,2,7,10,70.0,Medium,2,"36,37",2026-07-18 15:00:00.000000,1
63,11,3,8,10,75.0,Medium,1,37,2026-07-21 16:00:00.000000,1
64,11,4,8,10,80.0,Medium,2,"35,36",2026-07-24 17:00:00.000000,1
65,11,5,8,10,75.0,Medium,1,36,2026-07-27 10:00:00.000000,1
66,11,6,8,10,85.0,Medium,2,"35,37",2026-07-30 11:00:00.000000,1
67,11,7,8,10,80.0,Hard,1,35,2026-08-02 12:00:00.000000,1
68,11,8,9,10,90.0,Hard,2,"36,37",2026-08-05 13:00:00.000000,1
69,12,1,4,10,45.0,Easy,1,38,2026-07-17 15:00:00.000000,1
70,12,2,6,10,55.0,Medium,2,"39,40",2026-07-20 16:00:00.000000,1
71,12,3,5,10,50.0,Medium,1,40,2026-07-23 17:00:00.000000,1
72,12,4,6,10,60.0,Medium,2,"38,39",2026-07-26 10:00:00.000000,1
73,12,5,6,10,65.0,Medium,1,39,2026-07-29 11:00:00.000000,1
74,12,6,6,10,60.0,Medium,2,"38,40",2026-08-01 12:00:00.000000,1
75,12,7,7,10,70.0,Hard,1,38,2026-08-04 13:00:00.000000,1
76,12,8,8,10,75.0,Hard,2,"39,40",2026-08-07 14:00:00.000000,1
77,13,1,8,10,75.0,Easy,1,41,2026-07-19 16:00:00.000000,1
78,13,2,7,10,70.0,Medium,2,"42,43",2026-07-22 17:00:00.000000,1
79,13,3,8,10,80.0,Medium,1,43,2026-07-25 10:00:00.000000,1
80,13,4,8,10,75.0,Medium,2,"41,42",2026-07-28 11:00:00.000000,1
81,13,5,8,10,85.0,Medium,1,42,2026-07-31 12:00:00.000000,1
82,13,6,9,10,90.0,Medium,2,"41,43",2026-08-03 13:00:00.000000,1
83,13,7,8,10,85.0,Hard,1,41,2026-08-06 14:00:00.000000,1
84,13,8,9,10,90.0,Hard,2,"42,43",2026-08-09 15:00:00.000000,1
85,14,1,4,10,35.0,Easy,1,44,2026-07-21 17:00:00.000000,1
86,14,2,4,10,45.0,Medium,2,"45,46",2026-07-24 10:00:00.000000,1
87,14,3,5,10,50.0,Medium,1,46,2026-07-27 11:00:00.000000,1
88,14,4,6,10,55.0,Medium,2,"44,45",2026-07-30 12:00:00.000000,1
89,14,5,6,10,60.0,Medium,1,45,2026-08-02 13:00:00.000000,1
90,14,6,6,10,65.0,Medium,2,"44,46",2026-08-05 14:00:00.000000,1
91,14,7,7,10,70.0,Hard,1,44,2026-08-08 15:00:00.000000,1
92,14,8,8,10,75.0,Hard,2,"45,46",2026-08-11 16:00:00.000000,1
93,15,1,4,10,40.0,Medium,1,47,2026-05-01 10:00:00.000000,1
94,15,2,5,10,50.0,Medium,1,48,2026-05-05 10:24:00.000000,1
95,15,3,5,10,50.0,Medium,2,"47,49",2026-05-09 09:19:00.000000,1
96,15,4,6,10,60.0,Hard,1,47,2026-05-13 17:38:00.000000,1
97,15,5,6,10,60.0,Hard,1,48,2026-05-17 16:12:00.000000,1
98,15,6,7,10,70.0,Hard,2,"47,49",2026-05-21 09:59:00.000000,1
99,15,7,8,10,80.0,Hard,1,47,2026-05-25 12:30:00.000000,1
100,16,1,4,10,40.0,Easy,1,50,2026-05-03 14:17:00.000000,1
101,16,2,4,10,40.0,Easy,1,51,2026-05-07 14:27:00.000000,1
102,16,3,4,10,40.0,Hard,2,"50,52",2026-05-11 13:02:00.000000,1
103,16,4,5,10,50.0,Medium,1,50,2026-05-15 11:36:00.000000,1
104,16,5,6,10,60.0,Medium,1,51,2026-05-19 10:37:00.000000,1
105,16,6,7,10,70.0,Hard,2,"50,52",2026-05-23 10:15:00.000000,1
106,16,7,7,10,70.0,Hard,1,50,2026-05-27 09:19:00.000000,1
107,17,1,5,10,50.0,Medium,1,53,2026-05-05 14:41:00.000000,1
108,17,2,6,10,60.0,Easy,1,54,2026-05-09 13:16:00.000000,1
109,17,3,6,10,60.0,Medium,2,"53,55",2026-05-13 11:22:00.000000,1
110,17,4,6,10,60.0,Hard,1,53,2026-05-17 10:25:00.000000,1
111,17,5,7,10,70.0,Hard,1,54,2026-05-21 15:15:00.000000,1
112,17,6,8,10,80.0,Medium,2,"53,55",2026-05-25 15:34:00.000000,1
113,17,7,8,10,80.0,Medium,1,53,2026-05-29 10:20:00.000000,1
114,18,1,4,10,40.0,Medium,1,56,2026-05-07 11:47:00.000000,1
115,18,2,5,10,50.0,Easy,1,57,2026-05-11 12:47:00.000000,1
116,18,3,5,10,50.0,Medium,2,"56,58",2026-05-15 13:51:00.000000,1
117,18,4,6,10,60.0,Medium,1,56,2026-05-19 10:57:00.000000,1
118,18,5,6,10,60.0,Medium,1,57,2026-05-23 15:26:00.000000,1
119,18,6,6,10,60.0,Hard,2,"56,58",2026-05-27 13:28:00.000000,1
120,18,7,7,10,70.0,Hard,1,56,2026-05-31 11:17:00.000000,1
121,18,8,8,10,80.0,Medium,1,57,2026-06-04 12:23:00.000000,1
122,19,1,8,10,80.0,Easy,1,59,2026-05-09 10:41:00.000000,1
123,19,2,9,10,90.0,Medium,1,60,2026-05-13 16:22:00.000000,1
124,19,3,9,10,90.0,Medium,2,"59,61",2026-05-17 16:30:00.000000,1
125,19,4,9,10,90.0,Medium,1,59,2026-05-21 11:18:00.000000,1
126,19,5,9,10,90.0,Medium,1,60,2026-05-25 12:33:00.000000,1
127,19,6,10,10,100.0,Medium,2,"59,61",2026-05-29 16:10:00.000000,1
128,19,7,9,10,90.0,Medium,1,59,2026-06-02 10:49:00.000000,1
129,20,1,8,10,80.0,Medium,1,62,2026-05-11 11:24:00.000000,1
130,20,2,8,10,80.0,Easy,1,63,2026-05-15 13:15:00.000000,1
131,20,3,8,10,80.0,Hard,2,"62,64",2026-05-19 11:30:00.000000,1
132,20,4,9,10,90.0,Hard,1,62,2026-05-23 13:46:00.000000,1
133,20,5,9,10,90.0,Medium,1,63,2026-05-27 11:02:00.000000,1
134,20,6,8,10,80.0,Hard,2,"62,64",2026-05-31 11:31:00.000000,1
135,21,1,9,10,90.0,Easy,1,65,2026-05-13 11:54:00.000000,1
136,21,2,9,10,90.0,Easy,1,66,2026-05-17 15:24:00.000000,1
137,21,3,9,10,90.0,Medium,2,"65,67",2026-05-21 09:44:00.000000,1
138,21,4,9,10,90.0,Medium,1,65,2026-05-25 16:06:00.000000,1
139,21,5,9,10,90.0,Medium,1,66,2026-05-29 13:26:00.000000,1
140,21,6,9,10,90.0,Hard,2,"65,67",2026-06-02 17:47:00.000000,1
141,21,7,10,10,100.0,Medium,1,65,2026-06-06 11:52:00.000000,1
142,21,8,9,10,90.0,Medium,1,66,2026-06-10 16:39:00.000000,1
143,22,1,8,10,80.0,Medium,1,68,2026-05-15 12:54:00.000000,1
144,22,2,8,10,80.0,Easy,1,69,2026-05-19 15:46:00.000000,1
145,22,3,9,10,90.0,Medium,2,"68,70",2026-05-23 14:38:00.000000,1
146,22,4,8,10,80.0,Medium,1,68,2026-05-27 12:33:00.000000,1
147,22,5,9,10,90.0,Medium,1,69,2026-05-31 16:13:00.000000,1
148,22,6,9,10,90.0,Hard,2,"68,70",2026-06-04 13:53:00.000000,1
149,22,7,9,10,90.0,Hard,1,68,2026-06-08 11:59:00.000000,1
150,23,1,5,10,50.0,Medium,1,71,2026-05-17 13:13:00.000000,1
151,23,2,6,10,60.0,Easy,1,72,2026-05-21 12:20:00.000000,1
152,23,3,6,10,60.0,Medium,2,"71,73",2026-05-25 17:33:00.000000,1
153,23,4,6,10,60.0,Hard,1,71,2026-05-29 10:22:00.000000,1
154,23,5,6,10,60.0,Hard,1,72,2026-06-02 15:53:00.000000,1
155,23,6,7,10,70.0,Medium,2,"71,73",2026-06-06 13:32:00.000000,1
156,24,1,6,10,60.0,Medium,1,74,2026-05-19 15:09:00.000000,1
157,24,2,6,10,60.0,Easy,1,75,2026-05-23 09:17:00.000000,1
158,24,3,6,10,60.0,Medium,2,"74,76",2026-05-27 16:36:00.000000,1
159,24,4,6,10,60.0,Medium,1,74,2026-05-31 09:39:00.000000,1
160,24,5,7,10,70.0,Medium,1,75,2026-06-04 14:57:00.000000,1
161,24,6,7,10,70.0,Medium,2,"74,76",2026-06-08 16:34:00.000000,1
162,24,7,7,10,70.0,Hard,1,74,2026-06-12 17:22:00.000000,1
163,25,1,5,10,50.0,Easy,1,77,2026-05-21 09:26:00.000000,1
164,25,2,5,10,50.0,Easy,1,78,2026-05-25 17:30:00.000000,1
165,25,3,6,10,60.0,Hard,2,"77,79",2026-05-29 17:48:00.000000,1
166,25,4,6,10,60.0,Medium,1,77,2026-06-02 10:17:00.000000,1
167,25,5,6,10,60.0,Medium,1,78,2026-06-06 12:24:00.000000,1
168,25,6,7,10,70.0,Medium,2,"77,79",2026-06-10 17:42:00.000000,1
169,26,1,6,10,60.0,Easy,1,80,2026-05-23 15:58:00.000000,1
170,26,2,6,10,60.0,Medium,1,81,2026-05-27 10:22:00.000000,1
171,26,3,7,10,70.0,Medium,2,"80,82",2026-05-31 13:05:00.000000,1
172,26,4,7,10,70.0,Hard,1,80,2026-06-04 13:47:00.000000,1
173,26,5,7,10,70.0,Hard,1,81,2026-06-08 09:21:00.000000,1
174,26,6,8,10,80.0,Medium,2,"80,82",2026-06-12 14:47:00.000000,1
175,26,7,8,10,80.0,Hard,1,80,2026-06-16 10:19:00.000000,1
176,26,8,8,10,80.0,Medium,1,81,2026-06-20 11:27:00.000000,1
177,27,1,6,10,60.0,Easy,1,83,2026-05-25 10:46:00.000000,1
178,27,2,7,10,70.0,Medium,1,84,2026-05-29 11:40:00.000000,1
179,27,3,7,10,70.0,Medium,2,"83,85",2026-06-02 14:58:00.000000,1
180,27,4,7,10,70.0,Hard,1,83,2026-06-06 11:52:00.000000,1
181,27,5,7,10,70.0,Hard,1,84,2026-06-10 15:14:00.000000,1
182,27,6,7,10,70.0,Hard,2,"83,85",2026-06-14 10:35:00.000000,1
183,27,7,7,10,70.0,Hard,1,83,2026-06-18 09:50:00.000000,1
184,28,1,7,10,70.0,Easy,1,86,2026-05-27 15:10:00.000000,1
185,28,2,7,10,70.0,Medium,1,87,2026-05-31 09:35:00.000000,1
186,28,3,8,10,80.0,Hard,2,"86,88",2026-06-04 12:15:00.000000,1
187,28,4,7,10,70.0,Hard,1,86,2026-06-08 15:49:00.000000,1
188,28,5,7,10,70.0,Medium,1,87,2026-06-12 15:41:00.000000,1
189,28,6,8,10,80.0,Medium,2,"86,88",2026-06-16 09:01:00.000000,1
190,29,1,5,10,50.0,Medium,1,89,2026-05-29 09:09:00.000000,1
191,29,2,6,10,60.0,Easy,1,90,2026-06-02 13:02:00.000000,1
192,29,3,6,10,60.0,Medium,2,"89,91",2026-06-06 13:44:00.000000,1
193,29,4,6,10,60.0,Hard,1,89,2026-06-10 09:10:00.000000,1
194,29,5,6,10,60.0,Medium,1,90,2026-06-14 11:38:00.000000,1
195,29,6,6,10,60.0,Medium,2,"89,91",2026-06-18 12:26:00.000000,1
196,30,1,7,10,70.0,Medium,1,92,2026-05-31 14:35:00.000000,1
197,30,2,8,10,80.0,Easy,1,93,2026-06-04 14:22:00.000000,1
198,30,3,7,10,70.0,Medium,2,"92,94",2026-06-08 13:46:00.000000,1
199,30,4,7,10,70.0,Hard,1,92,2026-06-12 10:14:00.000000,1
200,30,5,7,10,70.0,Medium,1,93,2026-06-16 09:46:00.000000,1
201,30,6,7,10,70.0,Hard,2,"92,94",2026-06-20 15:09:00.000000,1
202,31,1,8,10,80.0,Medium,1,95,2026-06-02 13:55:00.000000,1
203,31,2,6,10,60.0,Easy,1,96,2026-06-06 12:39:00.000000,1
204,31,3,8,10,80.0,Hard,2,"95,97",2026-06-10 10:07:00.000000,1
205,31,4,6,10,60.0,Hard,1,95,2026-06-14 09:06:00.000000,1
206,31,5,8,10,80.0,Medium,1,96,2026-06-18 12:37:00.000000,1
207,31,6,6,10,60.0,Medium,2,"95,97",2026-06-22 12:02:00.000000,1
208,32,1,5,10,50.0,Medium,1,98,2026-06-04 16:28:00.000000,1
209,32,2,7,10,70.0,Easy,1,99,2026-06-08 16:29:00.000000,1
210,32,3,5,10,50.0,Medium,2,"98,100",2026-06-12 17:38:00.000000,1
211,32,4,8,10,80.0,Hard,1,98,2026-06-16 11:59:00.000000,1
212,32,5,6,10,60.0,Medium,1,99,2026-06-20 15:47:00.000000,1
213,32,6,8,10,80.0,Hard,2,"98,100",2026-06-24 17:56:00.000000,1
214,32,7,6,10,60.0,Medium,1,98,2026-06-28 15:51:00.000000,1
215,33,1,9,10,90.0,Easy,1,101,2026-06-06 12:16:00.000000,1
216,33,2,7,10,70.0,Easy,1,102,2026-06-10 15:42:00.000000,1
217,33,3,8,10,80.0,Medium,2,"101,103",2026-06-14 17:19:00.000000,1
218,33,4,6,10,60.0,Medium,1,101,2026-06-18 11:07:00.000000,1
219,33,5,8,10,80.0,Medium,1,102,2026-06-22 14:53:00.000000,1
220,33,6,7,10,70.0,Hard,2,"101,103",2026-06-26 11:21:00.000000,1
221,33,7,9,10,90.0,Medium,1,101,2026-06-30 11:27:00.000000,1
222,34,1,6,10,60.0,Easy,1,104,2026-06-08 13:06:00.000000,1
223,34,2,8,10,80.0,Medium,1,105,2026-06-12 14:03:00.000000,1
224,34,3,6,10,60.0,Medium,2,"104,106",2026-06-16 10:17:00.000000,1
225,34,4,8,10,80.0,Medium,1,104,2026-06-20 11:03:00.000000,1
226,34,5,5,10,50.0,Medium,1,105,2026-06-24 10:27:00.000000,1
227,34,6,7,10,70.0,Hard,2,"104,106",2026-06-28 11:46:00.000000,1
228,34,7,6,10,60.0,Hard,1,104,2026-07-02 13:46:00.000000,1
229,34,8,8,10,80.0,Medium,1,105,2026-07-06 10:54:00.000000,1
230,35,1,3,10,30.0,Easy,1,107,2026-06-10 15:34:00.000000,1
231,35,2,3,10,30.0,Easy,1,108,2026-06-14 12:47:00.000000,1
232,35,3,3,10,30.0,Medium,2,"107,109",2026-06-18 17:47:00.000000,1
233,35,4,4,10,40.0,Hard,1,107,2026-06-22 17:44:00.000000,1
234,35,5,4,10,40.0,Medium,1,108,2026-06-26 13:50:00.000000,1
235,35,6,5,10,50.0,Hard,2,"107,109",2026-06-30 09:37:00.000000,1
236,36,1,3,10,30.0,Medium,1,110,2026-06-12 12:53:00.000000,1
237,36,2,4,10,40.0,Easy,1,111,2026-06-16 16:30:00.000000,1
238,36,3,4,10,40.0,Hard,2,"110,112",2026-06-20 11:32:00.000000,1
239,36,4,4,10,40.0,Hard,1,110,2026-06-24 14:53:00.000000,1
240,36,5,4,10,40.0,Hard,1,111,2026-06-28 17:03:00.000000,1
241,36,6,5,10,50.0,Medium,2,"110,112",2026-07-02 09:24:00.000000,1
242,36,7,6,10,60.0,Hard,1,110,2026-07-06 11:19:00.000000,1
243,37,1,2,10,20.0,Medium,1,113,2026-06-14 11:23:00.000000,1
244,37,2,3,10,30.0,Easy,1,114,2026-06-18 10:33:00.000000,1
245,37,3,4,10,40.0,Medium,2,"113,115",2026-06-22 17:28:00.000000,1
246,37,4,4,10,40.0,Hard,1,113,2026-06-26 15:28:00.000000,1
247,37,5,4,10,40.0,Hard,1,114,2026-06-30 17:10:00.000000,1
248,37,6,5,10,50.0,Hard,2,"113,115",2026-07-04 10:51:00.000000,1
249,37,7,5,10,50.0,Medium,1,113,2026-07-08 09:53:00.000000,1
250,37,8,6,10,60.0,Hard,1,114,2026-07-12 16:42:00.000000,1
251,38,1,4,10,40.0,Easy,1,116,2026-06-16 13:09:00.000000,1
252,38,2,4,10,40.0,Easy,1,117,2026-06-20 15:06:00.000000,1
253,38,3,4,10,40.0,Hard,2,"116,118",2026-06-24 16:18:00.000000,1
254,38,4,4,10,40.0,Hard,1,116,2026-06-28 11:44:00.000000,1
255,38,5,5,10,50.0,Medium,1,117,2026-07-02 11:04:00.000000,1
256,38,6,6,10,60.0,Medium,2,"116,118",2026-07-06 11:26:00.000000,1
257,38,7,6,10,60.0,Hard,1,116,2026-07-10 11:41:00.000000,1
258,39,1,9,10,90.0,Easy,1,119,2026-06-18 15:42:00.000000,1
259,39,2,9,10,90.0,Easy,1,120,2026-06-22 12:51:00.000000,1
260,39,3,9,10,90.0,Medium,2,"119,121",2026-06-26 17:21:00.000000,1
261,39,4,8,10,80.0,Medium,1,119,2026-06-30 11:54:00.000000,1
262,39,5,9,10,90.0,Medium,1,120,2026-07-04 10:40:00.000000,1
263,39,6,9,10,90.0,Hard,2,"119,121",2026-07-08 09:55:00.000000,1
264,40,1,9,10,90.0,Easy,1,122,2026-06-20 16:06:00.000000,1
265,40,2,9,10,90.0,Medium,1,123,2026-06-24 11:09:00.000000,1
266,40,3,8,10,80.0,Hard,2,"122,124",2026-06-28 10:56:00.000000,1
267,40,4,9,10,90.0,Medium,1,122,2026-07-02 17:02:00.000000,1
268,40,5,9,10,90.0,Hard,1,123,2026-07-06 10:43:00.000000,1
269,40,6,10,10,100.0,Hard,2,"122,124",2026-07-10 14:08:00.000000,1
270,41,1,8,10,80.0,Medium,1,125,2026-06-22 10:24:00.000000,1
271,41,2,9,10,90.0,Easy,1,126,2026-06-26 17:13:00.000000,1
272,41,3,9,10,90.0,Medium,2,"125,127",2026-06-30 09:55:00.000000,1
273,41,4,8,10,80.0,Medium,1,125,2026-07-04 15:29:00.000000,1
274,41,5,9,10,90.0,Hard,1,126,2026-07-08 11:27:00.000000,1
275,41,6,10,10,100.0,Hard,2,"125,127",2026-07-12 11:17:00.000000,1
276,41,7,10,10,100.0,Hard,1,125,2026-07-16 09:44:00.000000,1
277,42,1,9,10,90.0,Medium,1,128,2026-06-24 14:25:00.000000,1
278,42,2,9,10,90.0,Easy,1,129,2026-06-28 09:40:00.000000,1
279,42,3,9,10,90.0,Hard,2,"128,130",2026-07-02 09:58:00.000000,1
280,42,4,8,10,80.0,Hard,1,128,2026-07-06 15:56:00.000000,1
281,42,5,9,10,90.0,Medium,1,129,2026-07-10 14:56:00.000000,1
