attempt_id,user_id,created_at,is_synthetic,target_score,next_percentage,next_pass,previous_score,previous_percentage,previous_2_attempt_avg,previous_3_attempt_avg,previous_5_attempt_avg,overall_previous_avg,median_previous_score,best_previous_score,worst_previous_score,score_range,score_std,ewma_03,ewma_05,recent_score_trend,long_term_score_trend,recent_vs_overall_average,improvement_from_first_attempt,rolling_slope_3,rolling_slope_5,consecutive_improvements,consecutive_declines,total_passes,total_failures,historical_pass_rate,recent_3_pass_rate,consecutive_passes,consecutive_failures,attempt_order_by_user,total_previous_attempts,attempts_last_7_days,attempts_last_14_days,attempts_last_30_days,average_days_between_attempts,time_gap_std,days_since_previous_attempt,days_since_first_attempt,attempt_frequency,previous_easy_count,previous_medium_count,previous_hard_count,previous_hard_ratio,previous_average_easy_score,previous_average_medium_score,previous_average_hard_score,difficulty_transition_delta,difficulty_easy,difficulty_medium,difficulty_hard,unique_videos_seen,total_previous_video_interactions,repeated_video_ratio,number_of_videos_in_recent_attempts
747,4,2026-07-25 06:14:09.062147,1,29,72.5,1,36.0,72.0,68.5,68.33333333333333,68.834,65.23857142857143,66.67,72.5,55.0,17.5,6.744015689412921,66.8783926,69.1225,7.0,17.0,3.261428571428567,17.0,1.999999999999991,0.3159999999999965,1,0,2,5,0.2857142857142857,0.3333333333333333,1,0,8,7,3,4,7,3.8541666666666665,1.8646473452699366,2.0833333333333335,25.208333333333332,0.2670906200317965,2,3,2,0.2857142857142857,72.25,66.55666666666667,56.25,0.0,1,0,0,3,7,0.5714285714285714,1
748,4,2026-07-28 15:14:09.062147,1,36,72.0,1,29.0,72.5,72.25,69.83333333333333,70.0,66.14625000000001,67.33500000000001,72.5,55.0,17.5,6.750955355672686,68.56487482,70.81125,0.5,17.5,6.103749999999991,17.5,3.7499999999999933,0.39999999999999597,2,0,3,5,0.375,0.6666666666666666,2,0,9,8,2,4,8,3.601190476190476,1.8290444060091704,3.375,28.583333333333332,0.27042253521126763,3,3,2,0.25,72.33333333333333,66.55666666666667,56.25,1.0,0,1,0,3,8,0.625,1
749,4,2026-07-29 16:14:09.062147,1,29,72.5,1,36.0,72.0,72.25,72.16666666666667,69.9,66.79666666666668,68.0,72.5,55.0,17.5,6.609527214559299,69.59541237399999,71.405625,-0.5,17.0,5.453333333333319,17.0,-6.35528743231302e-15,1.549999999999998,0,1,4,5,0.4444444444444444,1.0,3,0,10,9,3,5,9,3.572916666666667,1.6952533523256719,1.0416666666666667,29.625,0.2938775510204082,3,4,2,0.2222222222222222,72.33333333333333,67.9175,56.25,1.0,0,0,1,3,9,0.6666666666666667,1
751,5,2026-06-05 08:14:09.062221,1,19,63.33,0,12.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,1.1666666666666667,1.1666666666666667,0.46153846153846145,1,0,0,0.0,60.0,60.0,60.0,1.0,0,1,0,1,1,0.0,1
752,5,2026-06-10 18:14:09.062221,1,14,70.0,1,19.0,63.33,61.665,61.665,61.665,61.665,61.665,63.33,60.0,3.3299999999999983,2.354665581351202,60.998999999999995,61.665,3.3299999999999983,3.3299999999999983,0.0,3.3299999999999983,0.0,0.0,1,0,0,2,0.0,0.0,0,2,3,2,2,2,2,1.1666666666666667,0.0,5.416666666666667,6.583333333333333,0.26373626373626374,1,1,0,0.0,60.0,63.33,61.665,-1.0,1,0,0,2,2,0.0,1
753,5,2026-06-12 19:14:09.062221,1,36,72.0,1,14.0,70.0,66.66499999999999,64.44333333333333,64.44333333333333,64.44333333333333,63.33,70.0,60.0,10.0,5.0921148193391454,63.699299999999994,65.8325,6.670000000000002,10.0,2.221666666666664,10.0,4.999999999999999,4.999999999999999,2,0,1,2,0.3333333333333333,0.3333333333333333,1,0,4,3,1,3,3,3.291666666666667,3.005203820042827,2.0416666666666665,8.625,0.3116883116883117,2,1,0,0.0,65.0,63.33,64.44333333333333,0.0,1,0,0,3,3,0.0,1
754,5,2026-06-14 20:14:09.062221,1,40,80.0,1,36.0,72.0,71.0,68.44333333333333,66.3325,66.3325,66.66499999999999,72.0,60.0,12.0,5.618026788828975,66.18950999999998,68.91624999999999,2.0,12.0,4.667500000000004,12.0,4.334999999999991,4.334999999999991,3,0,2,2,0.5,0.6666666666666666,2,0,5,4,2,4,4,2.875,2.2442055015825386,2.0416666666666665,10.666666666666666,0.34285714285714286,3,1,0,0.0,67.33333333333333,63.33,66.3325,0.0,1,0,0,3,4,0.25,1
755,5,2026-06-15 23:14:09.062221,1,30,75.0,1,40.0,80.0,76.0,74.0,69.066,69.066,70.0,80.0,60.0,20.0,7.8122839170117215,70.33265699999998,74.458125,8.0,20.0,6.9339999999999975,20.0,4.999999999999999,4.8670000000000035,4,0,3,2,0.6,1.0,3,0,6,5,3,5,5,2.6666666666666665,1.8791620472966137,1.125,11.791666666666666,0.39087947882736157,4,1,0,0.0,70.5,63.33,69.066,1.0,0,1,0,3,5,0.4,1
756,5,2026-06-18 03:14:09.062221,1,22,73.33,1,30.0,75.0,77.5,75.66666666666667,72.066,70.05499999999999,71.0,80.0,60.0,20.0,7.395549337270356,71.7328599,74.7290625,-5.0,15.0,7.445000000000007,15.0,1.4999999999999916,3.3339999999999974,0,1,4,2,0.6666666666666666,1.0,4,0,7,6,3,6,6,2.3583333333333334,1.7674231870783585,2.1666666666666665,13.958333333333334,0.4011142061281337,4,2,0,0.0,70.5,69.16499999999999,70.05499999999999,1.0,0,0,1,3,6,0.5,1
757,5,2026-06-19 11:14:09.062221,1,36,90.0,1,22.0,73.33,74.16499999999999,76.11,74.066,70.52285714285713,72.0,80.0,60.0,20.0,6.863722785499898,72.21200192999999,74.02953124999999,-1.6700000000000017,13.329999999999998,3.642142857142858,13.329999999999998,-3.335000000000002,0.9659999999999944,0,2,5,2,0.7142857142857143,1.0,5,0,8,7,4,5,7,2.326388888888889,1.5827667114780255,1.3333333333333333,15.291666666666666,0.42966751918158574,4,2,1,0.14285714285714285,70.5,69.16499999999999,73.33,-2.0,1,0,0,3,7,0.5714285714285714,1
759,6,2026-05-13 17:14:09.062278,1,35,70.0,1,14.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,1.0833333333333333,1.0833333333333333,0.4800000000000001,0,1,0,0.0,56.0,56.0,56.0,-1.0,1,0,0,1,1,0.0,1
760,6,2026-05-20 23:14:09.062278,1,17,68.0,0,35.0,70.0,63.0,63.0,63.0,63.0,63.0,70.0,56.0,14.0,9.899494936611665,60.199999999999996,63.0,14.0,14.0,0.0,14.0,0.0,0.0,1,0,1,1,0.5,0.5,1,0,3,2,0,2,2,1.0833333333333333,0.0,7.25,8.333333333333334,0.21428571428571427,1,1,0,0.0,70.0,56.0,63.0,2.0,0,0,1,2,2,0.0,1
761,6,2026-05-26 08:14:09.062278,1,16,80.0,1,17.0,68.0,69.0,64.66666666666667,64.66666666666667,64.66666666666667,68.0,70.0,56.0,14.0,7.571877794400366,62.53999999999999,65.5,-2.0,12.0,4.333333333333329,12.0,5.999999999999998,5.999999999999998,0,1,1,2,0.3333333333333333,0.3333333333333333,0,1,4,3,1,3,3,4.166666666666667,4.360491817317044,5.375,13.708333333333334,0.20396600566572237,1,1,1,0.3333333333333333,70.0,56.0,68.0,-2.0,1,0,0,3,3,0.0,1
762,6,2026-05-31 13:14:09.062278,1,24,80.0,1,16.0,80.0,74.0,72.66666666666667,68.5,68.5,69.0,80.0,56.0,24.0,9.848857801796104,67.77799999999999,72.75,12.0,24.0,5.5,24.0,5.000000000000003,5.000000000000003,1,0,2,2,0.5,0.6666666666666666,1,0,5,4,1,2,4,4.569444444444445,3.1612709879507737,5.208333333333333,18.916666666666668,0.200836820083682,2,1,1,0.25,75.0,56.0,68.0,0.0,1,0,0,3,4,0.25,1
763,6,2026-06-04 19:14:09.062278,1,17,85.0,1,24.0,80.0,80.0,76.0,70.8,70.8,70.0,80.0,56.0,24.0,9.959919678390985,71.4446,76.375,0.0,24.0,9.200000000000003,24.0,5.999999999999998,5.799999999999995,0,0,3,2,0.6,0.6666666666666666,2,0,6,5,1,2,5,4.729166666666667,2.600859010517985,4.25,23.166666666666668,0.20689655172413793,3,1,1,0.2,76.66666666666667,56.0,68.0,1.0,0,1,0,3,5,0.4,1
764,6,2026-06-07 05:14:09.062278,1,27,90.0,1,17.0,85.0,82.5,81.66666666666667,76.6,73.16666666666667,75.0,85.0,56.0,29.0,10.628577828979129,75.51122,80.6875,5.0,29.0,9.333333333333329,29.0,2.4999999999999996,4.199999999999997,1,0,4,2,0.6666666666666666,1.0,3,0,7,6,2,3,6,4.633333333333334,2.2625805694678216,2.4166666666666665,25.583333333333332,0.22570532915360503,3,2,1,0.16666666666666666,76.66666666666667,70.5,68.0,0.0,0,1,0,3,6,0.5,1
765,6,2026-06-08 07:14:09.062278,1,36,90.0,1,27.0,90.0,87.5,85.0,80.6,75.57142857142857,80.0,90.0,56.0,34.0,11.60254487683834,79.857854,85.34375,5.0,34.0,11.92857142857143,34.0,5.000000000000009,4.8999999999999995,2,0,5,2,0.7142857142857143,1.0,4,0,8,7,2,4,7,4.263888888888889,2.2168337447476416,1.0833333333333333,26.666666666666668,0.25301204819277107,3,3,1,0.14285714285714285,76.66666666666667,77.0,68.0,0.0,0,1,0,3,7,0.5714285714285714,1
766,6,2026-06-09 16:14:09.062278,1,25,83.33,1,36.0,90.0,90.0,88.33333333333333,85.0,77.375,80.0,90.0,56.0,34.0,11.891623702662066,82.9004978,87.671875,0.0,34.0,12.625,34.0,2.4999999999999996,2.999999999999996,0,0,6,2,0.75,1.0,5,0,9,8,3,4,8,3.8095238095238098,2.3538110772323226,1.375,28.041666666666668,0.27546628407460544,3,4,1,0.125,76.66666666666667,80.25,68.0,1.0,0,0,1,3,8,0.625,1
768,7,2026-03-16 04:14:09.062344,1,20,50.0,0,18.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,4.125,4.125,0.1951219512195122,0,1,0,0.0,45.0,45.0,45.0,0.0,0,1,0,1,1,0.0,1
769,7,2026-03-18 14:14:09.062344,1,16,53.33,0,20.0,50.0,47.5,47.5,47.5,47.5,47.5,50.0,45.0,5.0,3.5355339059327378,46.5,47.5,5.0,5.0,0.0,5.0,0.0,0.0,1,0,0,2,0.0,0.0,0,2,3,2,2,2,2,4.125,0.0,2.4166666666666665,6.541666666666667,0.26519337016574585,0,2,0,0.0,47.5,47.5,47.5,0.0,0,1,0,1,2,0.5,1
770,7,2026-03-19 18:14:09.062344,1,24,60.0,0,16.0,53.33,51.665,49.44333333333333,49.44333333333333,49.44333333333333,50.0,53.33,45.0,8.329999999999998,4.192807333199718,48.54899999999999,50.415,3.3299999999999983,8.329999999999998,2.221666666666671,8.329999999999998,4.1649999999999965,4.1649999999999965,2,0,0,3,0.0,0.0,0,3,4,3,2,3,3,3.270833333333333,1.2079740845270188,1.1666666666666667,7.708333333333333,0.3444976076555024,0,3,0,0.0,49.44333333333333,49.44333333333333,49.44333333333333,0.0,0,1,0,2,3,0.33333333333333337,1
771,7,2026-03-21 23:14:09.062344,1,21,70.0,1,24.0,60.0,56.665,54.44333333333333,52.082499999999996,52.082499999999996,51.665,60.0,45.0,15.0,6.2913081575562115,51.98429999999999,55.207499999999996,6.670000000000002,15.0,4.582500000000003,15.0,4.9999999999999964,4.9999999999999964,3,0,0,4,0.0,0.0,0,4,5,4,3,4,4,2.569444444444444,1.4850723264591577,2.2083333333333335,9.916666666666666,0.366412213740458,0,4,0,0.0,52.082499999999996,52.082499999999996,52.082499999999996,-1.0,1,0,0,3,4,0.25,1
772,7,2026-03-26 01:14:09.062344,1,18,72.0,1,21.0,70.0,65.0,61.10999999999999,55.666,55.666,53.33,70.0,45.0,25.0,9.68982868785615,57.38900999999999,62.60375,10.0,25.0,9.334000000000003,25.0,8.335000000000004,5.999999999999996,4,0,1,4,0.2,0.3333333333333333,1,0,6,5,2,5,5,2.4791666666666665,1.2259255762559644,4.083333333333333,14.0,0.3333333333333333,1,4,0,0.0,70.0,52.082499999999996,55.666,2.0,0,0,1,3,5,0.4,1
773,7,2026-03-27 05:14:09.062344,1,17,85.0,1,18.0,72.0,71.0,67.33333333333333,61.065999999999995,58.38833333333333,56.665,72.0,45.0,27.0,10.9353013980716,61.772306999999984,67.301875,2.0,27.0,12.611666666666672,27.0,6.000000000000004,6.0669999999999975,5,0,2,4,0.3333333333333333,0.6666666666666666,2,0,7,6,2,5,6,2.8,1.2813431537951798,1.1666666666666667,15.166666666666666,0.37113402061855677,1,4,1,0.16666666666666666,70.0,52.082499999999996,72.0,-2.0,1,0,0,3,6,0.5,1
774,7,2026-04-03 14:14:09.062344,1,33,82.5,1,17.0,85.0,78.5,75.66666666666667,68.066,62.19,60.0,85.0,45.0,40.0,14.171075000389585,68.74061489999998,76.1509375,13.0,40.0,16.310000000000002,40.0,7.499999999999993,7.533999999999995,6,0,3,4,0.42857142857142855,1.0,3,0,8,7,0,3,7,2.5277777777777777,1.3259343316514025,7.375,22.541666666666668,0.2973451327433628,2,4,1,0.14285714285714285,77.5,52.082499999999996,72.0,1.0,0,1,0,3,7,0.5714285714285714,1
776,8,2026-05-08 23:14:09.062399,1,28,56.0,0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,3.0416666666666665,3.0416666666666665,0.24742268041237117,0,1,0,0.0,50.0,50.0,50.0,0.0,0,1,0,1,1,0.0,1
777,8,2026-05-16 03:14:09.062399,1,17,56.67,0,28.0,56.0,53.0,53.0,53.0,53.0,53.0,56.0,50.0,6.0,4.242640687119285,51.8,53.0,6.0,6.0,0.0,6.0,0.0,0.0,1,0,0,2,0.0,0.0,0,2,3,2,0,2,2,3.0416666666666665,0.0,7.166666666666667,10.208333333333334,0.17843866171003717,0,2,0,0.0,53.0,53.0,53.0,0.0,0,1,0,1,2,0.5,1
778,8,2026-05-23 08:14:09.062399,1,13,65.0,0,17.0,56.67,56.335,54.223333333333336,54.223333333333336,54.223333333333336,56.0,56.67,50.0,6.670000000000002,3.6728236185982768,53.260999999999996,54.835,0.6700000000000017,6.670000000000002,2.1116666666666646,6.670000000000002,3.334999999999999,3.334999999999999,2,0,0,3,0.0,0.0,0,3,4,3,0,1,3,5.104166666666667,2.916815472394509,7.208333333333333,17.416666666666668,0.16289592760180993,0,3,0,0.0,54.223333333333336,54.223333333333336,54.223333333333336,0.0,0,1,0,2,3,0.33333333333333337,1
779,8,2026-05-28 13:14:09.062399,1,35,70.0,1,13.0,65.0,60.835,59.223333333333336,56.917500000000004,56.917500000000004,56.335,65.0,50.0,15.0,6.166621846683968,56.78269999999999,59.917500000000004,8.329999999999998,15.0,3.917499999999997,15.0,4.499999999999994,4.499999999999994,3,0,0,4,0.0,0.0,0,4,5,4,1,2,4,5.805555555555556,2.3936886535993716,5.208333333333333,22.625,0.1693121693121693,0,4,0,0.0,56.917500000000004,56.917500000000004,56.917500000000004,-1.0,1,0,0,3,4,0.25,1
780,8,2026-06-01 16:14:09.062399,1,37,74.0,1,35.0,70.0,67.5,63.89000000000001,59.534000000000006,59.534000000000006,56.67,70.0,50.0,20.0,7.921538991887877,60.74788999999999,64.95875000000001,5.0,20.0,7.965999999999994,20.0,6.664999999999994,4.899999999999998,4,0,1,4,0.2,0.3333333333333333,1,0,6,5,1,2,5,5.65625,1.9771188235896682,4.125,26.75,0.18018018018018017,1,4,0,0.0,70.0,56.917500000000004,59.534000000000006,1.0,0,1,0,3,5,0.4,1
781,8,2026-06-02 20:14:09.062399,1,39,78.0,1,37.0,74.0,72.0,69.66666666666667,64.334,61.945,60.835,74.0,50.0,24.0,9.223781762379247,64.72352299999999,69.479375,4.0,24.0,10.055,24.0,4.500000000000012,4.932999999999993,5,0,2,4,0.3333333333333333,0.6666666666666666,2,0,7,6,2,3,6,5.35,1.8440971895332539,1.1666666666666667,27.916666666666668,0.207492795389049,1,5,0,0.0,70.0,60.334,61.945,1.0,0,0,1,3,6,0.5,1
782,8,2026-06-04 04:14:09.062399,1,17,85.0,1,39.0,78.0,76.0,74.0,68.73400000000001,64.23857142857143,65.0,78.0,50.0,28.0,10.378908787490504,68.70646609999999,73.7396875,4.0,28.0,11.761428571428567,28.0,3.999999999999991,5.1659999999999915,6,0,3,4,0.42857142857142855,1.0,3,0,8,7,3,4,7,4.652777777777778,2.3742932671678365,1.3333333333333333,29.25,0.23140495867768596,1,5,1,0.14285714285714285,70.0,60.334,78.0,-1.0,0,1,0,3,7,0.5714285714285714,1
783,8,2026-06-05 14:14:09.062399,1,35,87.5,1,17.0,85.0,81.5,79.0,74.4,66.83375000000001,67.5,85.0,50.0,35.0,12.091837787178116,73.59452626999999,79.36984375,7.0,35.0,14.666249999999991,35.0,5.500000000000003,4.799999999999995,7,0,4,4,0.5,1.0,4,0,9,8,3,5,7,4.178571428571429,2.504361275220769,1.4166666666666667,30.666666666666668,0.25263157894736843,1,6,1,0.125,70.0,64.44500000000001,78.0,0.0,0,1,0,3,8,0.625,1
785,9,2026-06-18 20:14:09.062463,1,15,50.0,0,14.0,46.67,46.67,46.67,46.67,46.67,46.67,46.67,46.67,0.0,0.0,46.67,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,1,2,1,1,1,1,0.0,0.0,2.125,2.125,0.32,1,0,0,0.0,46.67,46.67,46.67,1.0,0,1,0,1,1,0.0,1
786,9,2026-06-26 03:14:09.062463,1,10,50.0,0,15.0,50.0,48.335,48.335,48.335,48.335,48.335,50.0,46.67,3.3299999999999983,2.354665581351202,47.669,48.335,3.3299999999999983,3.3299999999999983,0.0,3.3299999999999983,0.0,0.0,1,0,0,2,0.0,0.0,0,2,3,2,0,2,2,2.125,0.0,7.291666666666667,9.416666666666666,0.192,1,1,0,0.0,46.67,50.0,48.335,1.0,0,0,1,2,2,0.0,1
787,9,2026-07-01 09:14:09.062463,1,23,57.5,0,10.0,50.0,50.0,48.89000000000001,48.89000000000001,48.89000000000001,50.0,50.0,46.67,3.3299999999999983,1.9225763964014528,48.3683,49.167500000000004,0.0,3.3299999999999983,1.1099999999999923,3.3299999999999983,1.664999999999994,1.664999999999994,0,0,0,3,0.0,0.0,0,3,4,3,1,2,3,4.708333333333334,3.653385036130496,5.25,14.666666666666666,0.19148936170212766,1,1,1,0.3333333333333333,46.67,50.0,50.0,-2.0,1,0,0,2,3,0.33333333333333337,1
788,9,2026-07-04 15:14:09.062463,1,24,60.0,0,23.0,57.5,53.75,52.5,51.042500000000004,51.042500000000004,50.0,57.5,46.67,10.829999999999998,4.582272907630011,51.10780999999999,53.33375,7.5,10.829999999999998,2.707499999999996,10.829999999999998,3.7499999999999964,3.7499999999999964,1,0,0,4,0.0,0.0,0,4,5,4,1,2,4,4.888888888888889,2.602193697063506,3.25,17.916666666666668,0.21145374449339205,2,1,1,0.25,52.085,50.0,50.0,0.0,1,0,0,2,4,0.5,1
789,9,2026-07-07 17:14:09.062463,1,16,64.0,0,24.0,60.0,58.75,55.833333333333336,52.834,52.834,50.0,60.0,46.67,13.329999999999998,5.638730353545911,53.77546699999999,56.666875000000005,2.5,13.329999999999998,5.915999999999997,13.329999999999998,4.999999999999993,3.4159999999999964,2,0,0,5,0.0,0.0,0,5,6,5,2,3,5,4.479166666666667,2.2772272369899516,3.0833333333333335,21.0,0.22727272727272727,3,1,1,0.2,54.723333333333336,50.0,50.0,0.0,1,0,0,2,5,0.6,1
790,9,2026-07-13 00:14:09.062463,1,15,60.0,0,16.0,64.0,62.0,60.5,56.3,54.695,53.75,64.0,46.67,17.33,6.798246097340106,56.84282689999999,60.3334375,4.0,17.33,7.305,17.33,3.2500000000000036,3.7999999999999967,3,0,0,6,0.0,0.0,0,6,7,6,1,3,6,4.2,2.068572709758,5.291666666666667,26.291666666666668,0.2198473282442748,4,1,1,0.16666666666666666,57.042500000000004,50.0,50.0,1.0,0,1,0,2,6,0.6666666666666667,1
791,9,2026-07-16 04:14:09.062463,1,20,66.67,0,15.0,60.0,62.0,61.333333333333336,58.3,55.45285714285715,57.5,64.0,46.67,17.33,6.521801168096929,57.78997882999999,60.16671875,-4.0,13.329999999999998,6.547142857142852,13.329999999999998,3.17764371615651e-15,2.6500000000000017,0,1,0,7,0.0,0.0,0,7,8,7,1,3,7,4.381944444444445,1.9031072301974028,3.1666666666666665,29.458333333333332,0.22982216142270862,4,2,1,0.14285714285714285,57.042500000000004,55.0,50.0,0.0,0,1,0,3,7,0.5714285714285714,1
